c59356_g1	UGT79B11	23.46	81	56	3	469	547	290	366	0.61	25.4
c58014_g1	UGT73B3	26.09	115	58	4	456	555	135	237	0.047	28.9
c49963_g1	UGT81A4	26.55	113	77	2	335	447	344	450	6e-05	37.7
c71452_g1	UGT80A2	31.58	38	22	2	21	55	431	467	3.2	19.2
c94935_g1	UGT85A4	69.05	42	13	0	4	45	13	54	3e-18	71.2
c137331_g1	UGT73C4	38.46	13	8	0	35	47	197	209	6.7	17.3
c81246_g1	UGT76C5	45.45	11	6	0	23	33	434	444	3.9	16.9
c69582_g1	UGT87A1	28.81	59	39	2	193	249	266	323	0.58	25.0
c47987_g1	UGT83A1	30.00	80	38	4	31	104	81	148	2.2	23.1
c71879_g1	UGT73B5	35.90	39	24	1	516	554	342	379	1.0	25.0
c66276_g1	UGT71B8	21.57	51	40	0	454	504	410	460	1.7	23.9
c73046_g1	UGT89B1	54.05	457	191	6	18	460	13	464	1e-169	484
c92511_g1	UGT76C5	30.00	30	20	1	30	59	270	298	0.94	20.0
c60685_g1	UGT80A2	27.69	65	44	2	97	160	549	611	1.6	22.3
c42409_g1	UGT72B2	42.20	173	99	1	1	173	1	172	6e-43	144
c60756_g1	UGT85A7	34.62	26	16	1	245	269	84	109	0.73	24.6
c72718_g2	UGT89B1	38.59	355	191	10	8	351	14	352	4e-76	240
c65933_g1	UGT75D1	38.65	251	133	8	8	247	13	253	2e-52	173
c64069_g1	UGT75D1	35.42	288	143	12	8	278	13	274	9e-45	153
c73200_g2	UGT89A1P	41.38	29	17	0	6	34	104	132	0.46	26.2
c99601_g1	UGT79B4	46.15	13	7	0	11	23	177	189	1.6	18.9
c133312_g1	UGT89B1	47.37	19	10	0	66	84	255	273	1.1	20.8
c102091_g1	UGT76E12	26.79	56	37	3	16	69	338	391	1.5	20.0
c4803_g1	UGT91C1	41.24	97	55	1	1	97	147	241	2e-22	84.3
c68001_g1	UGT71B6	31.11	479	281	14	10	453	4	468	2e-61	203
c64770_g1	UGT76E10P	24.14	58	42	1	102	159	180	235	2.2	23.5
c73651_g1	UGT80B1	23.75	501	283	16	7	496	155	567	3e-30	117
c93812_g1	UGT80A2	45.45	22	11	1	4	25	498	518	1.7	20.0
c46423_g1	UGT73B4	57.50	40	17	0	3	42	441	480	5e-10	47.4
c70238_g1	UGT72B3	28.36	67	37	3	318	378	241	302	0.70	24.6
c61902_g1	UGT76C2	27.00	100	64	4	92	187	337	431	0.024	29.6
c56980_g1	UGT75C1	50.00	14	7	0	24	37	323	336	4.2	17.7
c23725_g1	UGT89A1P	29.03	62	43	1	3	64	141	201	2.6	22.7
c45001_g1	UGT90A1	49.52	105	47	3	5	103	311	415	3e-28	100
c63506_g1	UGT79B8	44.44	18	10	0	339	356	423	440	2.4	23.1
c63665_g1	UGT87A2	30.95	42	28	1	184	225	272	312	1.9	23.5
c68738_g1	UGT73D1	28.99	69	45	1	2	70	140	204	1.8	23.5
c72746_g1	UGT79B10	34.21	38	24	1	414	450	237	274	1.7	23.5
c101548_g1	UGT73B3	63.64	11	4	0	49	59	375	385	4.8	18.1
c64983_g1	UGT73B1	29.58	71	45	1	249	314	418	488	0.089	27.7
c62776_g1	UGT73C4	35.48	31	20	0	116	146	112	142	1.3	22.3
c71452_g2	UGT71B8	41.53	431	199	13	1	401	1	408	2e-95	291
c72110_g2	UGT73B3	38.22	484	275	11	12	483	8	479	3e-113	341
c136875_g1	UGT76E3	29.41	51	23	3	32	69	17	67	0.35	21.6
c67969_g1	UGT82A1	40.62	32	19	0	31	62	228	259	1.2	24.3
c107506_g1	UGT71B6	37.04	27	14	1	15	41	141	164	2.8	17.7
c151956_g1	UGT76E8P	35.71	42	22	2	20	56	204	245	0.20	22.3
c105792_g1	UGT74E2	37.93	29	18	0	7	35	6	34	0.86	22.3
c60525_g2	UGT91C1	43.54	333	172	5	24	354	9	327	2e-86	266
c66857_g1	UGT71B4P	34.69	49	26	2	248	290	191	239	0.44	25.4
c102227_g1	UGT85A6P	23.33	30	23	0	95	124	433	462	0.57	23.1
c75199_g1	UGT89C1	32.08	53	29	3	4	56	363	408	6.8	17.7
c83229_g1	UGT71C4	40.00	25	15	0	27	51	84	108	1.1	19.6
c91145_g1	UGT84A2	31.25	16	11	0	13	28	118	133	3.9	17.7
c8562_g1	UGT78D4P	32.56	43	27	1	45	87	183	223	2.7	22.7
c58268_g1	UGT91C1	35.29	34	22	0	300	333	80	113	0.93	24.6
c84796_g1	UGT72E1	31.58	19	13	0	29	47	299	317	3.0	18.1
c18484_g1	UGT73B1	31.58	19	13	0	1	19	23	41	1.2	18.1
c83534_g1	UGT76E3	28.57	49	31	1	3	51	386	430	2.3	20.8
c85171_g1	UGT76E4	36.36	22	14	0	24	45	323	344	9.5	17.3
c71339_g1	UGT76E3	34.15	41	20	1	601	641	10	43	7.9	21.9
c56980_g2	UGT72E1	24.51	102	61	4	29	122	43	136	0.30	25.0
c61352_g1	UGT72B3	21.69	83	53	2	196	267	290	371	2.9	22.7
c70302_g1	UGT89A1P	31.11	45	28	1	172	216	235	276	0.025	28.9
c61922_g1	UGT73B1	29.52	437	261	11	17	448	77	471	2e-56	191
c68514_g1	UGT87A2	50.00	454	212	8	3	443	4	455	4e-150	432
c71594_g2	UGT76C3	47.06	17	9	0	210	226	290	306	0.71	24.6
c70583_g1	UGT72C1	23.26	43	30	1	194	236	99	138	0.89	24.3
c59149_g1	UGT87A2	41.50	441	232	9	14	436	13	445	3e-115	343
c66559_g1	UGT81A1	25.40	126	74	3	290	408	413	525	3e-04	35.0
c69005_g1	UGT73B5	40.98	488	252	10	12	478	9	481	1e-124	370
c11938_g1	UGT71C3	33.33	30	14	1	14	37	288	317	4.5	18.9
c72070_g1	UGT72E3	29.82	57	36	1	308	364	427	479	0.24	26.2
c109787_g1	UGT71C5	27.66	47	33	1	14	59	181	227	0.19	21.9
c133624_g1	UGT71C4	35.29	34	20	2	15	48	32	63	2.7	18.5
c46603_g1	UGT71C1	50.00	14	7	0	20	33	239	252	0.67	20.8
c114983_g1	UGT80B1	50.00	90	41	1	2	91	217	302	2e-26	95.9
c42342_g2	UGT85A2	26.53	49	35	1	301	349	73	120	0.21	26.9
c22516_g1	UGT80B1	29.03	62	41	2	20	80	43	102	0.030	26.9
c46423_g2	UGT73B1	64.75	122	43	0	1	122	298	419	3e-53	171
c63596_g1	UGT85A1	61.08	203	77	1	1	201	247	449	6e-92	275
c45808_g1	UGT72B3	43.79	153	84	2	3	153	2	154	7e-36	124
c82686_g1	UGT90A2	38.89	18	11	0	42	59	33	50	3.7	18.9
c44201_g1	UGT85A7	30.43	23	16	0	64	86	38	60	4.9	19.2
c116980_g1	UGT79B3	60.00	10	4	0	7	16	20	29	2.4	18.9
c61451_g2	UGT73B1	32.65	49	29	2	131	176	290	337	1.1	23.1
c61451_g1	UGT73B1	32.65	49	29	2	131	176	290	337	0.71	23.9
c69142_g1	UGT81A4	27.50	40	26	1	653	692	315	351	3.4	24.3
c67484_g2	UGT72B1	56.54	428	180	4	6	428	4	430	2e-177	503
c71646_g1	UGT91C1	49.33	448	220	6	7	452	9	451	6e-148	428
c57293_g1	UGT75D1	33.33	39	19	1	42	73	397	435	1.4	20.8
c57372_g1	UGT75D1	33.33	39	19	1	42	73	397	435	1.4	20.8
c71444_g4	UGT73C3	33.70	276	159	10	1	268	30	289	3e-37	132
c50952_g1	UGT75B2	24.36	78	57	1	92	169	227	302	0.055	26.6
c75153_g1	UGT76B1	47.06	17	9	0	3	19	162	178	0.94	18.9
c72124_g1	UGT73B3	37.81	484	248	15	2	440	4	479	5e-99	302
c58170_g1	UGT85A2	56.84	285	118	2	1	283	161	442	1e-119	349
c60018_g1	UGT73B3	39.74	385	204	7	1	357	1	385	1e-101	305
c63009_g1	UGT73B3	31.07	280	167	6	9	264	9	286	1e-46	158
c69175_g1	UGT88A1	35.97	253	144	6	2	246	4	246	8e-41	142
c280_g1	UGT78D4P	28.40	81	44	4	1	81	256	322	0.65	22.3
c28889_g1	UGT74D1	42.31	26	15	0	134	159	80	105	0.43	24.3
c96974_g1	UGT72B3	38.10	21	13	0	29	49	191	211	3.2	19.6
c73810_g1	UGT82A1	44.05	84	44	1	1	84	373	453	1e-21	82.0
c68055_g2	UGT73B3	33.33	138	87	2	2	135	108	244	6e-26	95.9
c60018_g2	UGT73C4	40.91	110	58	3	1	105	381	488	9e-21	80.5
c73626_g2	UGT90A1	29.55	44	27	1	446	485	178	221	2.2	23.1
c69762_g2	UGT91C1	44.38	356	182	8	9	357	9	355	5e-90	275
c65041_g1	UGT71B1	27.27	110	69	5	172	281	190	288	3.4	22.7
c63717_g2	UGT73B3	39.83	231	116	7	11	224	9	233	1e-41	142
c132057_g1	UGT71B2	30.77	26	18	0	44	69	316	341	0.62	20.8
c72461_g1	UGT73B3	40.78	103	57	2	1	100	379	480	3e-18	73.2
c25772_g1	UGT78D1	47.62	21	10	1	140	159	11	31	4.2	21.2
c61501_g1	UGT71C5	41.38	29	13	1	105	133	9	33	0.48	24.3
c89802_g1	UGT72B3	30.43	46	32	0	6	51	49	94	0.040	24.3
c70874_g1	UGT84B3P	22.99	87	57	3	13	95	201	281	0.13	27.3
c35942_g1	UGT84A1	44.44	27	12	1	24	50	456	479	0.65	21.6
c43733_g1	UGT76E8P	26.92	52	30	1	205	256	344	387	1.7	22.7
c61222_g1	UGT83A1	40.00	20	12	0	192	211	330	349	2.2	21.9
c56938_g1	UGT74E1	36.76	68	33	1	128	185	237	304	7e-09	47.0
c68939_g1	UGT86A2	62.09	459	164	6	13	468	22	473	0.0	582
c134470_g1	UGT85A3	38.89	36	14	2	52	79	321	356	2.8	19.6
c99559_g1	UGT76C5	40.00	20	12	0	19	38	97	116	0.29	21.6
c139166_g1	UGT71B1	53.85	13	6	0	13	25	4	16	6.9	18.1
c60482_g1	UGT71D1	29.03	62	42	1	7	68	182	241	1.8	21.6
c108754_g1	UGT85A3	51.22	41	19	1	3	42	447	487	3e-08	42.0
c52891_g1	UGT71B7	47.83	23	12	0	91	113	397	419	0.15	26.6
c68556_g1	UGT75D1	40.85	399	186	11	1	372	1	376	3e-97	295
c69150_g1	UGT71B3P	33.90	59	29	2	215	265	170	226	0.100	26.6
c25599_g1	UGT73C1	48.68	76	34	1	13	83	10	85	2e-22	83.6
c36877_g1	UGT71B2	23.44	64	37	2	124	181	150	207	3.7	21.2
c73038_g3	UGT71B8	30.95	42	27	1	43	82	172	213	0.082	26.9
c72667_g2	UGT74C1	30.23	43	27	1	208	247	93	135	3.2	22.3
c93025_g1	UGT72B2	40.00	25	15	0	8	32	431	455	0.99	20.4
c70178_g1	UGT71B5	38.46	312	167	11	6	302	4	305	2e-55	183
c73050_g6	UGT85A2	41.58	291	159	4	5	291	192	475	8e-76	236
c68331_g1	UGT73C2	23.68	321	215	8	9	308	16	327	6e-25	98.2
c303_g1	UGT71B7	37.50	24	15	0	17	40	396	419	0.15	23.1
c72396_g1	UGT74F2	50.78	451	201	9	13	454	7	445	6e-158	453
c130845_g1	UGT84A3	25.00	32	24	0	23	54	207	238	0.83	21.9
c69011_g6	UGT86A1	28.07	57	38	1	615	671	179	232	0.22	26.9
c106370_g1	UGT80B1	29.63	27	19	0	56	82	245	271	7.0	18.5
c152014_g1	UGT71B3P	31.11	45	29	1	3	45	236	280	0.76	20.4
c68928_g1	UGT85A1	30.43	23	16	0	187	209	169	191	4.2	21.6
c24488_g1	UGT71C3	32.26	31	20	1	9	38	16	46	0.38	21.2
c87944_g1	UGT71B1	38.89	18	11	0	45	62	378	395	8.4	18.1
c90689_g1	UGT90A1	33.33	27	16	1	43	69	222	246	0.64	21.6
